Ticker,buy_price,latest_price,shares,gain,gain_in_percentage,next
BXC,38.93,40.49,1,1.56,0.040071924,Yes
EBIO,2.85,2.86,11,0.11,0.003508772,Yes
TNDM,8.46,8.9,4,1.76,0.052009456,Yes
AMTX,1.73,1.81,19,1.52,0.046242775,No
CASI,8.03,8.08,4,0.2,0.00622665,Yes
NVTR,16.85,16.73,2,-0.24,-0.007121662,Yes
ENVA,31,32.55,1,1.55,0.05,Yes
TZOO,13.15,15.15,3,6,0.152091255,Yes
CCXI,11.44,10.91,3,-1.59,-0.046328671,No
RCM,8.62,8.35,4,-1.08,-0.031322506,Yes
ENPH,4.59,5.06,7,3.29,0.102396514,Yes
PTCT,30.79,29.73,1,-1.06,-0.034426762,Yes
CPST,1.41,1.35,23,-1.38,-0.042553191,Yes
HRTX,31.7,30.75,1,-0.95,-0.029968454,Yes
CHRS,15.6,16.55,2,1.9,0.060897436,No
BDR,1.05,0.9429,32,-3.4272,-0.102,No
JYNT,7.9,7.14,4,-3.04,-0.096202532,No
DRNA,14.28,15.46,2,2.36,0.082633053,Yes
RUN,9.31,10.73,4,5.68,0.152524168,No
HSII,37.2,38.6,1,1.4,0.037634409,Yes
Total,,,,14.5628,,
